Year,Liquid fuel,Solid fuel,Gas fuel,Cement production,Gas flaring
1850,0,54,0,0,0
1851,0,54,0,0,0
1852,0,57,0,0,0
1853,0,59,0,0,0
1854,0,69,0,0,0
1855,0,71,0,0,0
1856,0,76,0,0,0
1857,0,77,0,0,0
1858,0,78,0,0,0
1859,0,83,0,0,0
1860,0,91,0,0,0
1861,0,95,0,0,0
1862,0,96,0,0,0
1863,0,103,0,0,0
1864,0,112,0,0,0
1865,0,119,0,0,0
1866,0,122,0,0,0
1867,0,130,0,0,0
1868,0,134,0,0,0
1869,0,142,0,0,0
1870,1,146,0,0,0
1871,1,156,0,0,0
1872,1,173,0,0,0
1873,1,183,0,0,0
1874,1,173,0,0,0
1875,1,187,0,0,0
1876,1,190,0,0,0
1877,2,192,0,0,0
1878,2,194,0,0,0
1879,3,207,0,0,0
1880,3,233,0,0,0
1881,4,239,0,0,0
1882,4,252,0,0,0
1883,3,269,0,0,0
1884,4,271,0,0,0
1885,4,273,1,0,0
1886,5,275,2,0,0
1887,5,287,3,0,0
1888,5,317,5,0,0
1889,6,318,3,0,0
1890,8,345,3,0,0
1891,9,360,2,0,0
1892,9,363,2,0,0
1893,10,358,2,0,0
1894,9,372,2,0,0
1895,11,393,2,0,0
1896,12,405,2,0,0
1897,13,425,2,0,0
1898,13,449,2,0,0
1899,14,491,3,0,0
1900,16,515,3,0,0
1901,18,531,4,0,0
1902,19,543,4,0,0
1903,20,593,4,0,0
1904,23,597,4,0,0
1905,23,636,5,0,0
1906,23,680,5,0,0
1907,28,750,5,0,0
1908,30,714,5,0,0
1909,32,747,6,0,0
1910,34,778,7,0,0
1911,36,792,7,0,0
1912,37,834,8,0,0
1913,41,895,8,0,0
1914,42,800,8,0,0
1915,45,784,9,0,0
1916,48,842,10,0,0
1917,54,891,11,0,0
1918,53,873,10,0,0
1919,61,735,10,0,0
1920,78,843,11,0,0
1921,84,709,10,0,0
1922,94,740,11,0,0
1923,111,845,14,0,0
1924,110,836,16,0,0
1925,116,842,17,0,0
1926,119,846,19,0,0
1927,136,905,21,0,0
1928,143,890,23,10,0
1929,160,947,28,10,0
1930,152,862,28,10,0
1931,147,759,25,8,0
1932,141,675,24,7,0
1933,154,708,25,7,0
1934,162,775,28,8,0
1935,176,811,30,9,0
1936,192,893,34,11,0
1937,219,941,38,11,0
1938,214,880,37,12,0
1939,222,918,38,13,0
1940,229,1017,42,11,0
1941,236,1043,42,12,0
1942,222,1063,45,11,0
1943,239,1092,50,10,0
1944,275,1047,54,7,0
1945,275,820,59,7,0
1946,292,875,61,10,0
1947,322,992,67,12,0
1948,364,1015,76,14,0
1949,362,960,81,16,0
1950,423,1070,97,18,23
1951,479,1129,115,20,24
1952,504,1119,124,22,26
1953,533,1125,131,24,27
1954,557,1116,138,27,27
1955,625,1208,150,30,31
1956,679,1273,161,32,32
1957,714,1309,178,34,35
1958,731,1336,192,36,35
1959,789,1382,206,40,36
1960,849,1410,227,43,39
1961,904,1349,240,45,42
1962,980,1351,263,49,44
1963,1052,1396,286,51,47
1964,1137,1435,316,57,51
1965,1219,1460,337,59,55
1966,1323,1478,364,63,60
1967,1423,1448,392,65,66
1968,1551,1448,424,70,73
1969,1673,1486,467,74,80
1970,1839,1556,493,78,87
1971,1947,1559,530,84,88
1972,2057,1576,560,89,95
1973,2241,1581,588,95,110
1974,2245,1579,597,96,107
1975,2132,1673,604,95,92
1976,2314,1710,630,103,108
1977,2398,1756,650,108,104
1978,2392,1780,680,116,106
1979,2544,1875,721,119,98
1980,2422,1935,737,120,86
1981,2289,1908,755,121,65
1982,2196,1976,738,121,64
1983,2176,1977,739,125,58
1984,2199,2074,807,128,51
1985,2186,2216,835,131,49
1986,2293,2277,830,137,46
1987,2306,2339,892,143,44
1988,2412,2387,935,152,50
1989,2459,2428,982,156,41
1990,2492,2359,1026,157,40
1991,2601,2284,1051,161,45
1992,2499,2290,1085,167,36
1993,2515,2225,1117,176,37
1994,2539,2278,1133,186,39
1995,2560,2359,1151,197,39
1996,2626,2382,1198,203,40
1997,2701,2409,1197,209,40
1998,2763,2343,1224,209,36
1999,2741,2310,1258,217,35
2000,2845,2327,1289,226,46
2001,2848,2445,1316,237,47
2002,2832,2518,1342,252,49
2003,2958,2695,1397,276,48
2004,3043,2906,1443,298,54
2005,3068,3108,1485,320,60
2006,3091,3293,1534,356,62
2007,3071,3422,1562,382,66
2008,3103,3587,1630,388,69
2009,3042,3590,1584,415,66
2010,3107,3812,1696,446,67
2011,3134,4055,1756,494,64
2012,3200,4106,1783,519,65
2013,3220,4126,1806,554,68
2014,3280,4117,1823,568,68